"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"121","2021-10",18.0658230457978,1,1,"Iota",0.0553531382137945,22469,38216,913549.667978729,1.97754141663357e-05,4.45057634963728e-05,2.61670504500733e-05
"122","2021-12",109.448270615183,3,3,"Iota",0.0274102092535378,22469,38216,913549.667978729,0.000119805495477156,0.000133517290489118,7.85011513502198e-05
"123","2021-02",43194.8032948496,454,454,"Kappa",0.0105105236132452,6506,6506,1617085.96880057,0.0267115070739795,0.0697817399323701,0.0697817399323701
"124","2021-03",320593.569046574,2379,2379,"Kappa",0.00742061048534131,6506,6506,1617085.96880057,0.19825388088944,0.365662465416539,0.365662465416539
"125","2021-04",905736.063413821,2861,2861,"Kappa",0.00315875685596151,6506,6506,1617085.96880057,0.560103841656374,0.439747924992315,0.439747924992315
"126","2021-05",328437.681419794,642,642,"Kappa",0.00195470872046324,6506,6506,1617085.96880057,0.203104651055381,0.0986781432523824,0.0986781432523824
"127","2021-06",17624.0528919032,158,158,"Kappa",0.00896502075709203,6506,6506,1617085.96880057,0.0108986493185488,0.0242852751306486,0.0242852751306486
"128","2021-08",1393.55843446505,10,10,"Kappa",0.00717587418846827,6506,6506,1617085.96880057,0.000861771397038761,0.00153704272978789,0.00153704272978789
"129","2021-12",16.5438139397954,1,1,"Kappa",0.0604455540686749,6506,6506,1617085.96880057,1.02306335340144e-05,0.000153704272978789,0.000153704272978789
"130","2022-01",89.6964852280688,1,1,"Kappa",0.0111487088647602,6506,6506,1617085.96880057,5.54679757036037e-05,0.000153704272978789,0.000153704272978789
"131","2021-03",13513.7658747728,66,66,"Mu",0.00488390879430636,13133,13133,1362513.65501054,0.00991826087399343,0.00502550826163101,0.00502550826163101
"132","2021-04",197938.539928618,751,751,"Mu",0.00379410700043979,13133,13133,1362513.65501054,0.145274536662964,0.0571841924921952,0.0571841924921952
"133","2021-05",224876.479891563,1364,1364,"Mu",0.00606555207844649,13133,13133,1362513.65501054,0.165045303630241,0.103860504073707,0.103860504073707
"134","2021-06",308618.949595641,2574,2574,"Mu",0.00834038222012131,13133,13133,1362513.65501054,0.22650705074457,0.195994822203609,0.195994822203609
"135","2021-07",401387.652191477,4433,4433,"Mu",0.0110441862767749,13133,13133,1362513.65501054,0.29459348955176,0.337546638239549,0.337546638239549
"136","2021-08",158923.343171298,2421,2421,"Mu",0.0152337595704269,13133,13133,1362513.65501054,0.11663981684651,0.184344780324374,0.184344780324374
"137","2021-09",40137.2291604169,1077,1077,"Mu",0.0268329434424968,13133,13133,1362513.65501054,0.0294582215839198,0.0820071575420696,0.0820071575420696
"138","2021-10",11500.2308551296,311,311,"Mu",0.0270429353912735,13133,13133,1362513.65501054,0.00844045181700631,0.0236808040813219,0.0236808040813219
"139","2021-11",4686.55449146979,109,109,"Mu",0.0232580246742881,13133,13133,1362513.65501054,0.00343963854911498,0.00829970303814818,0.00829970303814818
"140","2021-12",897.223590623025,26,26,"Mu",0.0289782839770695,13133,13133,1362513.65501054,0.000658506127497185,0.00197974567882434,0.00197974567882434
"141","2022-02",33.6862595280977,1,1,"Mu",0.0296856942269266,13133,13133,1362513.65501054,2.47236124234198e-05,7.61440645701668e-05,7.61440645701668e-05
"142","2021-11",58206.935236633,2423,501,"Omicron",0.00860722176770255,25000,2103032,172188448.477446,0.000338042044929961,0.02004,0.00115214604437783
"143","2021-12",8065638.16812944,376164,1148,"Omicron",0.000142332196916074,25000,2103032,172188448.477446,0.046841923714679,0.04592,0.17886746373807
"144","2022-01",79756507.4804335,921430,11352,"Omicron",0.000142333213409388,25000,2103032,172188448.477446,0.463193136274066,0.45408,0.438143594581538
"145","2022-02",62737388.1387509,656183,8929,"Omicron",0.000142323425709921,25000,2103032,172188448.477446,0.364353060228478,0.35716,0.312017601253809
"146","2022-03",21570707.7548952,146832,3070,"Omicron",0.000142322636553421,25000,2103032,172188448.477446,0.125273837737847,0.1228,0.0698191943822063
"147","2020-10",70951.4065792968,68,68,"Zeta",0.000958402423269816,4700,4700,2476273.32464738,0.0286524940010006,0.014468085106383,0.014468085106383
"148","2020-11",202848.407387547,237,237,"Zeta",0.001168360171284,4700,4700,2476273.32464738,0.081916808362192,0.0504255319148936,0.0504255319148936
"149","2020-12",603796.037370281,580,580,"Zeta",0.00096058927866781,4700,4700,2476273.32464738,0.243832549242625,0.123404255319149,0.123404255319149
"150","2021-01",833767.741430878,1330,1330,"Zeta",0.00159516845508739,4700,4700,2476273.32464738,0.336702630170927,0.282978723404255,0.282978723404255
"151","2021-02",487096.009671361,1349,1349,"Zeta",0.00276947454550112,4700,4700,2476273.32464738,0.196705268688675,0.287021276595745,0.287021276595745
"152","2021-03",218354.285853391,856,856,"Zeta",0.00392023447881734,4700,4700,2476273.32464738,0.0881785882358059,0.182127659574468,0.182127659574468
"153","2021-04",48284.4152318548,251,251,"Zeta",0.00519836470618385,4700,4700,2476273.32464738,0.0194988229898776,0.0534042553191489,0.0534042553191489
"154","2021-05",10968.730351799,25,25,"Zeta",0.00227920636191952,4700,4700,2476273.32464738,0.00442953136175344,0.00531914893617021,0.00531914893617021
"155","2021-06",193.361788520724,3,3,"Zeta",0.015514957856725,4700,4700,2476273.32464738,7.80858019977496e-05,0.000638297872340425,0.000638297872340425
"156","2021-10",12.9289824459174,1,1,"Zeta",0.0773456073734381,4700,4700,2476273.32464738,5.22114514469379e-06,0.000212765957446809,0.000212765957446809
